,POS_LATITUD,POS_LONGITUD,POS_FECHAHORA
10513,"41,44796","2,07568",2015-04-16 13:07:45.000
10540,"41,44796","2,07568",2015-04-16 13:07:25.000
10574,"41,44796","2,07568",2015-04-16 13:07:05.000
10611,"41,44796","2,07568",2015-04-16 13:06:45.000
10640,"41,44796","2,07568",2015-04-16 13:06:25.000
10673,"41,44796","2,07568",2015-04-16 13:06:04.000
10684,"41,44796","2,07568",2015-04-16 13:05:44.000
10685,"41,44796","2,07568",2015-04-16 13:05:24.000
10686,"41,44796","2,07568",2015-04-16 13:05:04.000
10687,"41,44796","2,07568",2015-04-16 13:04:44.000
10688,"41,44796","2,07568",2015-04-16 13:04:24.000
10689,"41,44796","2,07568",2015-04-16 13:04:04.000
10690,"41,44796","2,07568",2015-04-16 13:03:44.000
10696,"41,44796","2,07568",2015-04-16 13:03:23.000
10697,"41,44796","2,07568",2015-04-16 13:03:03.000
10698,"41,44706","2,07617",2015-04-16 13:02:43.000
10699,"41,44596","2,07664",2015-04-16 13:02:26.000
11039,"41,44577","2,07655",2015-04-16 13:02:23.000
11065,"41,44478","2,07559",2015-04-16 13:02:03.000
11066,"41,44464","2,07539",2015-04-16 13:02:00.000
11086,"41,44428","2,07518",2015-04-16 13:01:50.000
11115,"41,44442","2,07475",2015-04-16 13:01:43.000
11141,"41,44526","2,07403",2015-04-16 13:01:23.000
11147,"41,44536","2,07387",2015-04-16 13:01:19.000
11155,"41,44519","2,07379",2015-04-16 13:01:14.000
11168,"41,44487","2,07362",2015-04-16 13:01:06.000
11173,"41,44472","2,07358",2015-04-16 13:01:03.000
11198,"41,44458","2,07322",2015-04-16 13:00:54.000
11228,"41,44469","2,0728",2015-04-16 13:00:42.000
11234,"41,44471","2,07277",2015-04-16 13:00:41.000
11255,"41,44542","2,07215",2015-04-16 13:00:22.000
11281,"41,44542","2,07215",2015-04-16 13:00:02.000
11322,"41,44542","2,07215",2015-04-16 12:59:42.000
11359,"41,44563","2,07201",2015-04-16 12:59:22.000
11387,"41,4462","2,07191",2015-04-16 12:59:02.000
11433,"41,4462","2,07191",2015-04-16 12:58:42.000
11470,"41,4462","2,07191",2015-04-16 12:58:22.000
11513,"41,44646","2,07184",2015-04-16 12:58:02.000
11556,"41,44743","2,0717",2015-04-16 12:57:43.000
11559,"41,4475","2,07179",2015-04-16 12:57:41.000
11575,"41,44769","2,07257",2015-04-16 12:57:32.000
11576,"41,44819","2,07308",2015-04-16 12:57:22.000
11577,"41,44825","2,07321",2015-04-16 12:57:20.000
11578,"41,4481","2,07417",2015-04-16 12:57:09.000
11579,"41,44821","2,07431",2015-04-16 12:57:05.000
11580,"41,44825","2,07454",2015-04-16 12:57:01.000
11581,"41,44824","2,07511",2015-04-16 12:56:54.000
11655,"41,44902","2,07505",2015-04-16 12:56:40.000
11705,"41,45033","2,07372",2015-04-16 12:56:19.000
11708,"41,45066","2,07347",2015-04-16 12:56:15.000
11727,"41,45145","2,0719",2015-04-16 12:55:59.000
11758,"41,45285","2,069",2015-04-16 12:55:39.000
11788,"41,45371","2,06602",2015-04-16 12:55:24.000
11797,"41,45401","2,0654",2015-04-16 12:55:20.000
11816,"41,45533","2,0643",2015-04-16 12:55:09.000
11823,"41,45648","2,06449",2015-04-16 12:54:59.000
11867,"41,45817","2,06572",2015-04-16 12:54:39.000
11904,"41,46024","2,0661",2015-04-16 12:54:19.000
11937,"41,46243","2,06669",2015-04-16 12:54:01.000
11940,"41,46273","2,067",2015-04-16 12:53:58.000
11958,"41,4635","2,06947",2015-04-16 12:53:43.000
11966,"41,46403","2,07018",2015-04-16 12:53:37.000
11975,"41,46435","2,07029",2015-04-16 12:53:34.000
11995,"41,46586","2,07021",2015-04-16 12:53:17.000
12024,"41,46639","2,06975",2015-04-16 12:53:04.000
12027,"41,46684","2,07013",2015-04-16 12:52:58.000
12029,"41,46693","2,07015",2015-04-16 12:52:57.000
12062,"41,46912","2,06999",2015-04-16 12:52:36.000
12082,"41,47043","2,0694",2015-04-16 12:52:22.000
12091,"41,47081","2,06926",2015-04-16 12:52:15.000
12129,"41,47272","2,06824",2015-04-16 12:51:55.000
12146,"41,4743","2,06777",2015-04-16 12:51:38.000
12149,"41,4745","2,06805",2015-04-16 12:51:34.000
12153,"41,47455","2,06813",2015-04-16 12:51:33.000
12181,"41,47619","2,06905",2015-04-16 12:51:15.000
12215,"41,47647","2,06916",2015-04-16 12:50:54.000
12238,"41,47769","2,06913",2015-04-16 12:50:37.000
12246,"41,4779","2,06896",2015-04-16 12:50:34.000
12255,"41,47818","2,06858",2015-04-16 12:50:29.000
12266,"41,47849","2,06893",2015-04-16 12:50:24.000
12281,"41,47954","2,06912",2015-04-16 12:50:14.000
12283,"41,47964","2,0691",2015-04-16 12:50:13.000
12297,"41,47992","2,06879",2015-04-16 12:50:08.000
12315,"41,48044","2,06898",2015-04-16 12:50:01.000
12326,"41,48022","2,06965",2015-04-16 12:49:54.000
12341,"41,48015","2,06988",2015-04-16 12:49:51.000
12365,"41,4802","2,07326",2015-04-16 12:49:33.000
12396,"41,48031","2,07727",2015-04-16 12:49:12.000
12427,"41,48068","2,08019",2015-04-16 12:48:53.000
12429,"41,48065","2,0803",2015-04-16 12:48:52.000
12447,"41,48027","2,0806",2015-04-16 12:48:46.000
12460,"41,47953","2,08165",2015-04-16 12:48:32.000
12500,"41,47846","2,0832",2015-04-16 12:48:13.000
12520,"41,47775","2,08429",2015-04-16 12:48:00.000
12531,"41,47759","2,08473",2015-04-16 12:47:52.000
12559,"41,47811","2,08535",2015-04-16 12:47:32.000
12600,"41,47876","2,08612",2015-04-16 12:47:12.000
12601,"41,47879","2,08616",2015-04-16 12:47:11.000
12612,"41,4788","2,08632",2015-04-16 12:47:07.000
12635,"41,47834","2,08572",2015-04-16 12:46:52.000
12660,"41,47752","2,08478",2015-04-16 12:46:33.000
12706,"41,4766","2,08347",2015-04-16 12:46:12.000
12733,"41,47602","2,08265",2015-04-16 12:45:59.000
12742,"41,47554","2,08221",2015-04-16 12:45:51.000
12774,"41,47502","2,08198",2015-04-16 12:45:31.000
12796,"41,47456","2,08174",2015-04-16 12:45:14.000
12802,"41,47449","2,08179",2015-04-16 12:45:11.000
12818,"41,47446","2,08187",2015-04-16 12:45:05.000
12848,"41,47437","2,08222",2015-04-16 12:44:51.000
12851,"41,47438","2,08224",2015-04-16 12:44:50.000
12869,"41,47446","2,08244",2015-04-16 12:44:45.000
12908,"41,47483","2,08234",2015-04-16 12:44:31.000
12949,"41,47509","2,08172",2015-04-16 12:44:10.000
13004,"41,47536","2,08032",2015-04-16 12:43:52.000
13007,"41,47521","2,08013",2015-04-16 12:43:49.000
13046,"41,47483","2,08005",2015-04-16 12:43:30.000
13081,"41,47352","2,07971",2015-04-16 12:43:09.000
13099,"41,473","2,07952",2015-04-16 12:42:59.000
13107,"41,47291","2,07929",2015-04-16 12:42:53.000
13116,"41,47292","2,07929",2015-04-16 12:42:50.000
13157,"41,47292","2,07929",2015-04-16 12:42:29.000
13186,"41,47292","2,07929",2015-04-16 12:42:08.000
13225,"41,47304","2,0791",2015-04-16 12:41:49.000
13229,"41,47308","2,079",2015-04-16 12:41:47.000
13261,"41,47298","2,07883",2015-04-16 12:41:28.000
13283,"41,47292","2,07873",2015-04-16 12:41:08.000
13302,"41,47255","2,07835",2015-04-16 12:41:00.000
13312,"41,47259","2,07803",2015-04-16 12:40:52.000
13317,"41,4726","2,07766",2015-04-16 12:40:48.000
13330,"41,4725","2,07732",2015-04-16 12:40:43.000
13354,"41,47172","2,07766",2015-04-16 12:40:29.000
13389,"41,46995","2,07794",2015-04-16 12:40:08.000
13397,"41,46972","2,07795",2015-04-16 12:40:02.000
13420,"41,46942","2,07715",2015-04-16 12:39:49.000
13430,"41,46932","2,07677",2015-04-16 12:39:45.000
13457,"41,46818","2,07564",2015-04-16 12:39:28.000
13501,"41,46695","2,07487",2015-04-16 12:39:13.000
13510,"41,46664","2,07503",2015-04-16 12:39:08.000
13515,"41,46653","2,07501",2015-04-16 12:39:06.000
13534,"41,46594","2,07349",2015-04-16 12:38:47.000
13585,"41,46621","2,07163",2015-04-16 12:38:27.000
13597,"41,4661","2,07023",2015-04-16 12:38:19.000
13606,"41,46634","2,06971",2015-04-16 12:38:13.000
13619,"41,46674","2,07007",2015-04-16 12:38:07.000
13621,"41,46681","2,07012",2015-04-16 12:38:06.000
13652,"41,46896","2,07",2015-04-16 12:37:47.000
13677,"41,47043","2,06938",2015-04-16 12:37:32.000
13684,"41,4707","2,06924",2015-04-16 12:37:27.000
13713,"41,47252","2,06833",2015-04-16 12:37:07.000
13739,"41,47427","2,06775",2015-04-16 12:36:47.000
13746,"41,47452","2,06811",2015-04-16 12:36:42.000
13768,"41,47587","2,06892",2015-04-16 12:36:27.000
13794,"41,47766","2,06911",2015-04-16 12:36:07.000
13808,"41,47823","2,06858",2015-04-16 12:35:56.000
13820,"41,47846","2,06892",2015-04-16 12:35:50.000
13828,"41,47851","2,069",2015-04-16 12:35:47.000
13855,"41,47978","2,06899",2015-04-16 12:35:27.000
13856,"41,47983","2,06891",2015-04-16 12:35:26.000
13869,"41,48048","2,06929",2015-04-16 12:35:15.000
13881,"41,48098","2,06954",2015-04-16 12:35:08.000
13908,"41,48252","2,06996",2015-04-16 12:34:52.000
13918,"41,4829","2,06966",2015-04-16 12:34:47.000
13936,"41,48384","2,06844",2015-04-16 12:34:32.000
13948,"41,48416","2,06852",2015-04-16 12:34:26.000
13975,"41,48586","2,06829",2015-04-16 12:34:06.000
13985,"41,48649","2,06818",2015-04-16 12:34:00.000
14016,"41,48709","2,06713",2015-04-16 12:33:45.000
14023,"41,48755","2,06568",2015-04-16 12:33:35.000
14043,"41,48761","2,06425",2015-04-16 12:33:26.000
14069,"41,48707","2,06238",2015-04-16 12:33:08.000
14072,"41,487","2,06213",2015-04-16 12:33:05.000
14099,"41,48667","2,05998",2015-04-16 12:32:46.000
14122,"41,48546","2,0595",2015-04-16 12:32:25.000
14154,"41,48424","2,05888",2015-04-16 12:32:05.000
14170,"41,48362","2,05841",2015-04-16 12:31:53.000
14185,"41,48361","2,05827",2015-04-16 12:31:48.000
14187,"41,48367","2,05832",2015-04-16 12:31:45.000
14204,"41,48395","2,05867",2015-04-16 12:31:38.000
14218,"41,48484","2,05924",2015-04-16 12:31:25.000
14255,"41,48656","2,05958",2015-04-16 12:31:04.000
14258,"41,48662","2,05952",2015-04-16 12:31:03.000
14267,"41,48687","2,0597",2015-04-16 12:30:58.000
14274,"41,48672","2,06011",2015-04-16 12:30:53.000
14295,"41,48688","2,06102",2015-04-16 12:30:45.000
14319,"41,48722","2,06198",2015-04-16 12:30:36.000
14322,"41,48721","2,06233",2015-04-16 12:30:31.000
14333,"41,48697","2,06217",2015-04-16 12:30:26.000
14334,"41,48697","2,0621",2015-04-16 12:30:25.000
14339,"41,48717","2,06192",2015-04-16 12:30:20.000
14364,"41,48759","2,06347",2015-04-16 12:30:05.000
14392,"41,48742","2,06639",2015-04-16 12:29:44.000
14436,"41,48707","2,06731",2015-04-16 12:29:36.000
14461,"41,48691","2,06829",2015-04-16 12:29:26.000
14462,"41,48678","2,06834",2015-04-16 12:29:24.000
14465,"41,48658","2,06822",2015-04-16 12:29:21.000
14491,"41,48506","2,06849",2015-04-16 12:29:04.000
14515,"41,4839","2,06887",2015-04-16 12:28:49.000
14527,"41,48357","2,0691",2015-04-16 12:28:43.000
14538,"41,48292","2,06976",2015-04-16 12:28:35.000
14556,"41,48169","2,06987",2015-04-16 12:28:23.000
14590,"41,48036","2,06953",2015-04-16 12:28:08.000
14598,"41,48019","2,06984",2015-04-16 12:28:03.000
14613,"41,48016","2,0701",2015-04-16 12:28:00.000
14634,"41,48019","2,07332",2015-04-16 12:27:43.000
14661,"41,48029","2,0771",2015-04-16 12:27:23.000
14695,"41,48069","2,08022",2015-04-16 12:27:03.000
14736,"41,47957","2,08158",2015-04-16 12:26:42.000
14779,"41,47853","2,0831",2015-04-16 12:26:22.000
14805,"41,47762","2,08448",2015-04-16 12:26:03.000
14854,"41,47668","2,08547",2015-04-16 12:25:43.000
14879,"41,47556","2,08601",2015-04-16 12:25:23.000
14917,"41,47539","2,0861",2015-04-16 12:25:03.000
14952,"41,47434","2,08643",2015-04-16 12:24:43.000
14953,"41,47426","2,08644",2015-04-16 12:24:42.000
14992,"41,47369","2,08697",2015-04-16 12:24:23.000
15025,"41,4738","2,08841",2015-04-16 12:24:02.000
15055,"41,4739","2,08993",2015-04-16 12:23:43.000
